1,2,3,4,5,6,7,8,9,10
L.A. Confidential (1997),Titanic (1997),Apt Pupil (1998),Kolya (1996),Good Will Hunting (1997),"Rainmaker, The (1997)",Contact (1997),As Good As It Gets (1997),"Game, The (1997)",Andre (1994)
Star Wars (1977),Titanic (1997),"Wings of the Dove, The (1997)",Good Will Hunting (1997),"Full Monty, The (1997)",Trainspotting (1996),"People vs. Larry Flynt, The (1996)",One Flew Over the Cuckoo's Nest (1975),"Celluloid Closet, The (1995)",Eve's Bayou (1997)
To Kill a Mockingbird (1962),L.A. Confidential (1997),"Graduate, The (1967)","Godfather, The (1972)",Terminator 2: Judgment Day (1991),Seven (Se7en) (1995),One Flew Over the Cuckoo's Nest (1975),North by Northwest (1959),Return of the Jedi (1983),"Fugitive, The (1993)"
L.A. Confidential (1997),Titanic (1997),"Postino, Il (1994)",Good Will Hunting (1997),Antonia's Line (1995),Annie Hall (1977),Apt Pupil (1998),Mr. Holland's Opus (1995),Sabrina (1995),Rear Window (1954)
Titanic (1997),L.A. Confidential (1997),Toy Story (1995),Fargo (1996),Good Will Hunting (1997),"Full Monty, The (1997)",Leaving Las Vegas (1995),Scream (1996),Raise the Red Lantern (1991),Twelve Monkeys (1995)
Star Wars (1977),"Clockwork Orange, A (1971)",Schindler's List (1993),Alien (1979),Casablanca (1942),"Wizard of Oz, The (1939)",Taxi Driver (1976),Lawrence of Arabia (1962),"Deer Hunter, The (1978)","Silence of the Lambs, The (1991)"
"Usual Suspects, The (1995)",GoodFellas (1990),Casablanca (1942),"Godfather: Part II, The (1974)",Babe (1995),Much Ado About Nothing (1993),"African Queen, The (1951)","Boot, Das (1981)","Sound of Music, The (1965)",North by Northwest (1959)
"Godfather, The (1972)",Casablanca (1942),Indiana Jones and the Last Crusade (1989),Titanic (1997),"Shawshank Redemption, The (1994)",Citizen Kane (1941),Dead Man Walking (1995),L.A. Confidential (1997),Blade Runner (1982),"Clockwork Orange, A (1971)"
Titanic (1997),Good Will Hunting (1997),Andre (1994),Ulee's Gold (1997),Gattaca (1997),Wag the Dog (1997),Oscar & Lucinda (1997),Shadow Conspiracy (1997),Amistad (1997),Fly Away Home (1996)
Casablanca (1942),Schindler's List (1993),"Godfather, The (1972)","Shawshank Redemption, The (1994)","Usual Suspects, The (1995)",Blade Runner (1982),"Maltese Falcon, The (1941)",Rear Window (1954),Amadeus (1984),Aliens (1986)
Big Night (1996),Dead Man Walking (1995),Secrets & Lies (1996),L.A. Confidential (1997),Leaving Las Vegas (1995),"Spitfire Grill, The (1996)",Antonia's Line (1995),"Celluloid Closet, The (1995)",Titanic (1997),When We Were Kings (1996)
Titanic (1997),"Godfather, The (1972)",Good Will Hunting (1997),In the Company of Men (1997),"Boot, Das (1981)",Star Wars (1977),Gattaca (1997),Everyone Says I Love You (1996),"Postman, The (1997)",Anna Karenina (1997)
Titanic (1997),Pulp Fiction (1994),Scream (1996),One Flew Over the Cuckoo's Nest (1975),Psycho (1960),Chinatown (1974),"Godfather: Part II, The (1974)","Shawshank Redemption, The (1994)","Usual Suspects, The (1995)","Silence of the Lambs, The (1991)"
Schindler's List (1993),Titanic (1997),One Flew Over the Cuckoo's Nest (1975),"Empire Strikes Back, The (1980)","Princess Bride, The (1987)",Kolya (1996),Jerry Maguire (1996),"Close Shave, A (1995)",Aliens (1986),Indiana Jones and the Last Crusade (1989)
"Princess Bride, The (1987)","Silence of the Lambs, The (1991)","Terminator, The (1984)",Forrest Gump (1994),Titanic (1997),"Sting, The (1973)",Schindler's List (1993),"Usual Suspects, The (1995)",Contact (1997),Glory (1989)
Amadeus (1984),"Graduate, The (1967)","Maltese Falcon, The (1941)",Blade Runner (1982),"Boot, Das (1981)",Gandhi (1982),"Manchurian Candidate, The (1962)",Clerks (1994),"Killing Fields, The (1984)","Third Man, The (1949)"
"Godfather, The (1972)","Silence of the Lambs, The (1991)",Seven (Se7en) (1995),"Usual Suspects, The (1995)",Fargo (1996),North by Northwest (1959),Amadeus (1984),Citizen Kane (1941),Glory (1989),"Hunt for Red October, The (1990)"
"Usual Suspects, The (1995)","Hunt for Red October, The (1990)",Schindler's List (1993),Apollo 13 (1995),Glory (1989),Babe (1995),"Great Escape, The (1963)","Right Stuff, The (1983)",Titanic (1997),To Kill a Mockingbird (1962)
L.A. Confidential (1997),Good Will Hunting (1997),Titanic (1997),"Game, The (1997)","Devil's Advocate, The (1997)",Boogie Nights (1997),Apt Pupil (1998),Chasing Amy (1997),Seven Years in Tibet (1997),Kiss the Girls (1997)
"Shawshank Redemption, The (1994)","Usual Suspects, The (1995)",Braveheart (1995),"Godfather, The (1972)",Contact (1997),Aliens (1986),"Terminator, The (1984)",Schindler's List (1993),"Wrong Trousers, The (1993)","Hunt for Red October, The (1990)"
Star Wars (1977),Fargo (1996),Fly Away Home (1996),Monty Python and the Holy Grail (1974),Return of the Jedi (1983),Braveheart (1995),"Godfather, The (1972)",Kolya (1996),Swept from the Sea (1997),Anna Karenina (1997)
"Wizard of Oz, The (1939)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Seven Years in Tibet (1997),"Great Escape, The (1963)",Amadeus (1984),Gattaca (1997),Dances with Wolves (1990),Groundhog Day (1993),"African Queen, The (1951)",Jurassic Park (1993)
Titanic (1997),Star Wars (1977),"Full Monty, The (1997)",Secrets & Lies (1996),Return of the Jedi (1983),"Close Shave, A (1995)",Trainspotting (1996),Fargo (1996),L.A. Confidential (1997),GoodFellas (1990)
Titanic (1997),Apt Pupil (1998),Good Will Hunting (1997),G.I. Jane (1997),Amistad (1997),Fargo (1996),Kiss the Girls (1997),Men in Black (1997),Anna Karenina (1997),"Devil's Advocate, The (1997)"
"Silence of the Lambs, The (1991)",Raiders of the Lost Ark (1981),"Godfather, The (1972)",Schindler's List (1993),"Empire Strikes Back, The (1980)",Lone Star (1996),"Usual Suspects, The (1995)","Shining, The (1980)","Shawshank Redemption, The (1994)",Titanic (1997)
"Usual Suspects, The (1995)","Godfather, The (1972)","Blues Brothers, The (1980)",Raising Arizona (1987),Schindler's List (1993),Chasing Amy (1997),Trainspotting (1996),GoodFellas (1990),"Godfather: Part II, The (1974)","Close Shave, A (1995)"
Blade Runner (1982),One Flew Over the Cuckoo's Nest (1975),Apocalypse Now (1979),Schindler's List (1993),Braveheart (1995),Dead Man Walking (1995),"Wizard of Oz, The (1939)",Much Ado About Nothing (1993),Lawrence of Arabia (1962),12 Angry Men (1957)
Good Will Hunting (1997),Titanic (1997),L.A. Confidential (1997),"Boot, Das (1981)","Postino, Il (1994)",Scream (1996),Monty Python and the Holy Grail (1974),Fargo (1996),101 Dalmatians (1996),Chasing Amy (1997)
"Full Monty, The (1997)",G.I. Jane (1997),One Flew Over the Cuckoo's Nest (1975),"Princess Bride, The (1987)",Titanic (1997),"Godfather, The (1972)","Big Lebowski, The (1998)",Four Weddings and a Funeral (1994),Nikita (La Femme Nikita) (1990),"Shawshank Redemption, The (1994)"
Independence Day (ID4) (1996),Air Force One (1997),Monty Python and the Holy Grail (1974),Fargo (1996),Titanic (1997),Secrets & Lies (1996),Primal Fear (1996),L.A. Confidential (1997),That Thing You Do! (1996),"Postino, Il (1994)"
Titanic (1997),Fargo (1996),Toy Story (1995),"Godfather, The (1972)","Full Monty, The (1997)",Apt Pupil (1998),Star Wars (1977),Kolya (1996),Secrets & Lies (1996),Primal Fear (1996)
Blade Runner (1982),Citizen Kane (1941),"Empire Strikes Back, The (1980)",Apocalypse Now (1979),Taxi Driver (1976),Schindler's List (1993),Vertigo (1958),"Madness of King George, The (1994)",North by Northwest (1959),To Kill a Mockingbird (1962)
"Fugitive, The (1993)","Empire Strikes Back, The (1980)",Back to the Future (1985),"Hunt for Red October, The (1990)",Jurassic Park (1993),"Godfather, The (1972)",Top Gun (1986),Star Trek: The Wrath of Khan (1982),Star Trek IV: The Voyage Home (1986),Die Hard (1988)
Fargo (1996),Air Force One (1997),Twelve Monkeys (1995),"Rock, The (1996)",Courage Under Fire (1996),Return of the Jedi (1983),"Shawshank Redemption, The (1994)",Sleepers (1996),Lone Star (1996),"Time to Kill, A (1996)"
Rear Window (1954),Pulp Fiction (1994),Lawrence of Arabia (1962),Fargo (1996),North by Northwest (1959),Vertigo (1958),L.A. Confidential (1997),To Kill a Mockingbird (1962),"Bridge on the River Kwai, The (1957)",Lone Star (1996)
Star Wars (1977),Blade Runner (1982),Return of the Jedi (1983),Raiders of the Lost Ark (1981),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Shawshank Redemption, The (1994)","Godfather, The (1972)",Schindler's List (1993),Contact (1997),"Usual Suspects, The (1995)"
Contact (1997),"Boot, Das (1981)",L.A. Confidential (1997),Secrets & Lies (1996),Lone Star (1996),"People vs. Larry Flynt, The (1996)","Usual Suspects, The (1995)",Leaving Las Vegas (1995),Welcome to the Dollhouse (1995),Return of the Jedi (1983)
Star Wars (1977),Fargo (1996),Willy Wonka and the Chocolate Factory (1971),Titanic (1997),"English Patient, The (1996)",Return of the Jedi (1983),"Boot, Das (1981)","Game, The (1997)",Sense and Sensibility (1995),Men in Black (1997)
"Full Monty, The (1997)",Titanic (1997),"Godfather, The (1972)",Emma (1996),Donnie Brasco (1997),Kolya (1996),One Flew Over the Cuckoo's Nest (1975),"Fugitive, The (1993)",Dead Man Walking (1995),Seven Years in Tibet (1997)
Monty Python and the Holy Grail (1974),"Shawshank Redemption, The (1994)",Raiders of the Lost Ark (1981),Fargo (1996),Speed (1994),Rear Window (1954),Twelve Monkeys (1995),Schindler's List (1993),"Sting, The (1973)",Indiana Jones and the Last Crusade (1989)
"English Patient, The (1996)","Full Monty, The (1997)","Game, The (1997)","Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",As Good As It Gets (1997),"Big Lebowski, The (1998)",Rosewood (1997),Jackie Brown (1997),Dead Man Walking (1995),Amistad (1997)
"Princess Bride, The (1987)",Citizen Kane (1941),Apocalypse Now (1979),2001: A Space Odyssey (1968),Sling Blade (1996),Braveheart (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Wizard of Oz, The (1939)",Casablanca (1942),Reservoir Dogs (1992)
Die Hard (1988),"Princess Bride, The (1987)",Casablanca (1942),Amadeus (1984),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Butch Cassidy and the Sundance Kid (1969),Rear Window (1954),It's a Wonderful Life (1946),Seven (Se7en) (1995),"Wrong Trousers, The (1993)"
As Good As It Gets (1997),"Big Lebowski, The (1998)","Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",In & Out (1997),"Fugitive, The (1993)",Star Wars (1977),Kiss the Girls (1997),U Turn (1997),Braveheart (1995),Washington Square (1997)
"Empire Strikes Back, The (1980)",Alien (1979),Fargo (1996),"Usual Suspects, The (1995)",Forrest Gump (1994),One Flew Over the Cuckoo's Nest (1975),"Princess Bride, The (1987)","Bridge on the River Kwai, The (1957)",Pulp Fiction (1994),Apocalypse Now (1979)
Star Wars (1977),"Postino, Il (1994)",Secrets & Lies (1996),Air Force One (1997),"Boot, Das (1981)",Leaving Las Vegas (1995),Raiders of the Lost Ark (1981),Lone Star (1996),Sense and Sensibility (1995),Schindler's List (1993)
Schindler's List (1993),Star Wars (1977),Braveheart (1995),"Shawshank Redemption, The (1994)",Return of the Jedi (1983),"Godfather, The (1972)","Princess Bride, The (1987)",Blade Runner (1982),"Empire Strikes Back, The (1980)",2001: A Space Odyssey (1968)
"Godfather, The (1972)",Fargo (1996),"Boot, Das (1981)",Trainspotting (1996),Leaving Las Vegas (1995),Schindler's List (1993),"Empire Strikes Back, The (1980)",Raiders of the Lost Ark (1981),L.A. Confidential (1997),French Kiss (1995)
"Godfather, The (1972)",Forrest Gump (1994),Casablanca (1942),"Shawshank Redemption, The (1994)","Wrong Trousers, The (1993)",Vertigo (1958),L.A. Confidential (1997),Babe (1995),North by Northwest (1959),"Usual Suspects, The (1995)"
One Flew Over the Cuckoo's Nest (1975),Kolya (1996),Leaving Las Vegas (1995),Air Force One (1997),As Good As It Gets (1997),"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)","Graduate, The (1967)",Sense and Sensibility (1995),Arsenic and Old Lace (1944),Raging Bull (1980)
Mr. Holland's Opus (1995),Cop Land (1997),Secrets & Lies (1996),"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Independence Day (ID4) (1996),Marvin's Room (1996),"Close Shave, A (1995)",Braveheart (1995),Phenomenon (1996),Wild Things (1998)
L.A. Confidential (1997),Titanic (1997),Good Will Hunting (1997),Apt Pupil (1998),Gattaca (1997),Star Wars (1977),Return of the Jedi (1983),"Rainmaker, The (1997)",Twelve Monkeys (1995),"Peacemaker, The (1997)"
Star Wars (1977),"MatchMaker, The (1997)",As Good As It Gets (1997),Return of the Jedi (1983),Wag the Dog (1997),"Tango Lesson, The (1997)",Paradise Lost: The Child Murders at Robin Hood Hills (1996),Kolya (1996),Rear Window (1954),Singin' in the Rain (1952)
"Godfather, The (1972)",Fargo (1996),Aliens (1986),Return of the Jedi (1983),"Empire Strikes Back, The (1980)",Blade Runner (1982),Die Hard (1988),Titanic (1997),Trainspotting (1996),"Silence of the Lambs, The (1991)"
"Shawshank Redemption, The (1994)","Usual Suspects, The (1995)",Field of Dreams (1989),Casablanca (1942),To Kill a Mockingbird (1962),Terminator 2: Judgment Day (1991),"Fugitive, The (1993)",Pulp Fiction (1994),"Boot, Das (1981)",Braveheart (1995)
Good Will Hunting (1997),Star Trek: First Contact (1996),Kiss the Girls (1997),Apt Pupil (1998),Star Trek: The Wrath of Khan (1982),Star Wars (1977),Jerry Maguire (1996),Dante's Peak (1997),My Best Friend's Wedding (1997),As Good As It Gets (1997)
"Godfather, The (1972)",Star Wars (1977),Amadeus (1984),Return of the Jedi (1983),"Hunt for Red October, The (1990)",Citizen Kane (1941),Dead Poets Society (1989),Searching for Bobby Fischer (1993),Titanic (1997),Babe (1995)
Air Force One (1997),L.A. Confidential (1997),"Full Monty, The (1997)",Sense and Sensibility (1995),"Boot, Das (1981)",Mystery Science Theater 3000: The Movie (1996),Shall We Dance? (1996),Sabrina (1995),Casablanca (1942),"Close Shave, A (1995)"
"Shawshank Redemption, The (1994)","Usual Suspects, The (1995)","Godfather, The (1972)",Reservoir Dogs (1992),"Godfather: Part II, The (1974)",Schindler's List (1993),One Flew Over the Cuckoo's Nest (1975),Glory (1989),Back to the Future (1985),Good Will Hunting (1997)
Fargo (1996),Contact (1997),Good Will Hunting (1997),Titanic (1997),"Godfather, The (1972)",Secrets & Lies (1996),Lone Star (1996),"Boot, Das (1981)",When We Were Kings (1996),Shall We Dance? (1996)
"Boot, Das (1981)",Star Wars (1977),Star Trek: First Contact (1996),Titanic (1997),"Rock, The (1996)",Sabrina (1995),Sense and Sensibility (1995),"Full Monty, The (1997)",Eye for an Eye (1996),Gattaca (1997)
"Boot, Das (1981)",Trainspotting (1996),"Close Shave, A (1995)",One Flew Over the Cuckoo's Nest (1975),"Postino, Il (1994)",Blade Runner (1982),Secrets & Lies (1996),"Princess Bride, The (1987)","Wizard of Oz, The (1939)","Full Monty, The (1997)"
Donnie Brasco (1997),Dead Man Walking (1995),L.A. Confidential (1997),Titanic (1997),Leaving Las Vegas (1995),Star Trek: First Contact (1996),"Usual Suspects, The (1995)",Monty Python and the Holy Grail (1974),Welcome to the Dollhouse (1995),Willy Wonka and the Chocolate Factory (1971)
"Close Shave, A (1995)","Silence of the Lambs, The (1991)","Shawshank Redemption, The (1994)",Pulp Fiction (1994),"Godfather, The (1972)",Alien (1979),"Terminator, The (1984)",Casablanca (1942),Aliens (1986),Citizen Kane (1941)
Glory (1989),Much Ado About Nothing (1993),Reservoir Dogs (1992),"Wrong Trousers, The (1993)",Twelve Monkeys (1995),Mr. Smith Goes to Washington (1939),Four Weddings and a Funeral (1994),Sneakers (1992),Ben-Hur (1959),Sling Blade (1996)
Contact (1997),Fargo (1996),Toy Story (1995),Titanic (1997),Amistad (1997),Trainspotting (1996),L.A. Confidential (1997),Sense and Sensibility (1995),Good Will Hunting (1997),Private Parts (1997)
Braveheart (1995),Schindler's List (1993),Terminator 2: Judgment Day (1991),Titanic (1997),"Shawshank Redemption, The (1994)",Casablanca (1942),Good Will Hunting (1997),Babe (1995),Air Force One (1997),It's a Wonderful Life (1946)
L.A. Confidential (1997),Titanic (1997),Air Force One (1997),Scream (1996),Fly Away Home (1996),Fargo (1996),One Flew Over the Cuckoo's Nest (1975),Good Will Hunting (1997),Much Ado About Nothing (1993),Lone Star (1996)
Schindler's List (1993),Contact (1997),"Empire Strikes Back, The (1980)",Fargo (1996),One Flew Over the Cuckoo's Nest (1975),L.A. Confidential (1997),Gattaca (1997),"Devil's Own, The (1997)","English Patient, The (1996)",Monty Python and the Holy Grail (1974)
Good Will Hunting (1997),Apt Pupil (1998),Contact (1997),"Edge, The (1997)",Cop Land (1997),Fly Away Home (1996),"Rainmaker, The (1997)",Boogie Nights (1997),"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",As Good As It Gets (1997)
Titanic (1997),Good Will Hunting (1997),Raise the Red Lantern (1991),Star Wars (1977),"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",Seven Years in Tibet (1997),"Boot, Das (1981)",Toy Story (1995),Amistad (1997),Mr. Holland's Opus (1995)
L.A. Confidential (1997),Cop Land (1997),Chasing Amy (1997),Titanic (1997),Good Will Hunting (1997),"Godfather, The (1972)",Gattaca (1997),To Kill a Mockingbird (1962),Lone Star (1996),In the Company of Men (1997)
"Usual Suspects, The (1995)","Wrong Trousers, The (1993)",Titanic (1997),Contact (1997),Babe (1995),Duck Soup (1933),"Clockwork Orange, A (1971)","Game, The (1997)",Shine (1996),Much Ado About Nothing (1993)
Casablanca (1942),Citizen Kane (1941),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Vertigo (1958),North by Northwest (1959),"Maltese Falcon, The (1941)",Schindler's List (1993),To Kill a Mockingbird (1962),"Bridge on the River Kwai, The (1957)","City of Lost Children, The (1995)"
"Shawshank Redemption, The (1994)","Princess Bride, The (1987)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Twelve Monkeys (1995),Braveheart (1995),"Right Stuff, The (1983)",Forrest Gump (1994),Citizen Kane (1941),Titanic (1997),Rear Window (1954)
"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)",Field of Dreams (1989),Mr. Holland's Opus (1995),Psycho (1960),Citizen Kane (1941),Dave (1993),Sleepless in Seattle (1993),Glory (1989),Amadeus (1984)
Contact (1997),"Full Monty, The (1997)",Good Will Hunting (1997),"Edge, The (1997)",Apt Pupil (1998),Star Wars (1977),Fargo (1996),Sense and Sensibility (1995),Lone Star (1996),Secrets & Lies (1996)
As Good As It Gets (1997),"Full Monty, The (1997)",Star Wars (1977),Kolya (1996),Ulee's Gold (1997),Kiss the Girls (1997),"Godfather, The (1972)","Winter Guest, The (1997)",Raise the Red Lantern (1991),Starship Troopers (1997)
Star Wars (1977),L.A. Confidential (1997),Return of the Jedi (1983),Chasing Amy (1997),Seven Years in Tibet (1997),Apt Pupil (1998),"Saint, The (1997)",Good Will Hunting (1997),"Thousand Acres, A (1997)",Beautiful Thing (1996)
L.A. Confidential (1997),Titanic (1997),Good Will Hunting (1997),Star Wars (1977),Ulee's Gold (1997),Chasing Amy (1997),"Ice Storm, The (1997)",Kolya (1996),"Godfather, The (1972)",As Good As It Gets (1997)
Titanic (1997),Good Will Hunting (1997),Contact (1997),Fly Away Home (1996),In & Out (1997),"Rainmaker, The (1997)",Gattaca (1997),"Thousand Acres, A (1997)",Scream 2 (1997),Starship Troopers (1997)
Titanic (1997),L.A. Confidential (1997),Contact (1997),Apt Pupil (1998),Good Will Hunting (1997),"Game, The (1997)",Alien: Resurrection (1997),As Good As It Gets (1997),Jackie Brown (1997),Star Wars (1977)
Star Wars (1977),Titanic (1997),"Usual Suspects, The (1995)",Alien (1979),Schindler's List (1993),Blade Runner (1982),"Empire Strikes Back, The (1980)",Air Force One (1997),Contact (1997),Jerry Maguire (1996)
"Shawshank Redemption, The (1994)",Braveheart (1995),Jerry Maguire (1996),"Wrong Trousers, The (1993)",Babe (1995),North by Northwest (1959),"Usual Suspects, The (1995)",Sense and Sensibility (1995),Lawrence of Arabia (1962),"Blues Brothers, The (1980)"
L.A. Confidential (1997),Star Wars (1977),Rosewood (1997),"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)","Usual Suspects, The (1995)",Anna Karenina (1997),Face/Off (1997),Return of the Jedi (1983),Star Trek: First Contact (1996),Wag the Dog (1997)
Titanic (1997),Star Wars (1977),Fargo (1996),"Godfather, The (1972)",Men in Black (1997),"Full Monty, The (1997)",Courage Under Fire (1996),Good Will Hunting (1997),L.A. Confidential (1997),Pulp Fiction (1994)
Star Wars (1977),"Big Lebowski, The (1998)",Gattaca (1997),Washington Square (1997),Fargo (1996),Wag the Dog (1997),G.I. Jane (1997),"Sweet Hereafter, The (1997)",Four Weddings and a Funeral (1994),"Thousand Acres, A (1997)"
Titanic (1997),Fargo (1996),Star Wars (1977),"Boot, Das (1981)","Birdcage, The (1996)","Devil's Advocate, The (1997)",Con Air (1997),Good Will Hunting (1997),Big Night (1996),G.I. Jane (1997)
Air Force One (1997),Good Will Hunting (1997),"Full Monty, The (1997)",Cop Land (1997),Star Wars (1977),Amistad (1997),Boogie Nights (1997),Chasing Amy (1997),Chasing Amy (1997),Kolya (1996)
Star Wars (1977),"Empire Strikes Back, The (1980)","Princess Bride, The (1987)",Forrest Gump (1994),Much Ado About Nothing (1993),"Hunt for Red October, The (1990)",Sling Blade (1996),Titanic (1997),It's a Wonderful Life (1946),Citizen Kane (1941)
Star Wars (1977),Contact (1997),"Godfather, The (1972)",Fargo (1996),Back to the Future (1985),"Boot, Das (1981)",Return of the Jedi (1983),It's a Wonderful Life (1946),Apollo 13 (1995),Mr. Holland's Opus (1995)
Casablanca (1942),Lawrence of Arabia (1962),One Flew Over the Cuckoo's Nest (1975),"Hunt for Red October, The (1990)",Dead Man Walking (1995),"Clockwork Orange, A (1971)","Bridge on the River Kwai, The (1957)",Gandhi (1982),"Maltese Falcon, The (1941)","Wizard of Oz, The (1939)"
Good Will Hunting (1997),L.A. Confidential (1997),Titanic (1997),Star Wars (1977),"Full Monty, The (1997)",Ulee's Gold (1997),Fargo (1996),In the Company of Men (1997),"Ice Storm, The (1997)",Jackie Brown (1997)
Titanic (1997),Schindler's List (1993),"Shawshank Redemption, The (1994)",Rear Window (1954),Being There (1979),Cool Hand Luke (1967),It's a Wonderful Life (1946),Lost Highway (1997),One Flew Over the Cuckoo's Nest (1975),"Crucible, The (1996)"
Die Hard (1988),"Usual Suspects, The (1995)","Princess Bride, The (1987)","Silence of the Lambs, The (1991)","Shawshank Redemption, The (1994)",Reservoir Dogs (1992),Fargo (1996),Schindler's List (1993),Unforgiven (1992),Apocalypse Now (1979)
"Rainmaker, The (1997)",Kolya (1996),"Sweet Hereafter, The (1997)",Apt Pupil (1998),Four Days in September (1997),Jackie Brown (1997),Ulee's Gold (1997),Star Wars (1977),In the Company of Men (1997),Everyone Says I Love You (1996)
Kolya (1996),Apt Pupil (1998),Good Will Hunting (1997),"Wings of the Dove, The (1997)",Pulp Fiction (1994),To Kill a Mockingbird (1962),Schindler's List (1993),Dead Man Walking (1995),Lone Star (1996),Amistad (1997)
Star Wars (1977),L.A. Confidential (1997),"Godfather, The (1972)",Return of the Jedi (1983),"Usual Suspects, The (1995)",Secrets & Lies (1996),Good Will Hunting (1997),Air Force One (1997),Donnie Brasco (1997),Casablanca (1942)
Casablanca (1942),Monty Python and the Holy Grail (1974),One Flew Over the Cuckoo's Nest (1975),Schindler's List (1993),"Shawshank Redemption, The (1994)",It's a Wonderful Life (1946),Rear Window (1954),"Blues Brothers, The (1980)","Boot, Das (1981)","Bridge on the River Kwai, The (1957)"
"Empire Strikes Back, The (1980)","Godfather, The (1972)",L.A. Confidential (1997),Alien (1979),"Full Monty, The (1997)",One Flew Over the Cuckoo's Nest (1975),Blade Runner (1982),"Close Shave, A (1995)",Seven (Se7en) (1995),Secrets & Lies (1996)
Air Force One (1997),Good Will Hunting (1997),L.A. Confidential (1997),Apt Pupil (1998),Rosewood (1997),Raise the Red Lantern (1991),Amistad (1997),Jackie Brown (1997),"Game, The (1997)","Rainmaker, The (1997)"
Rear Window (1954),Schindler's List (1993),"Killing Fields, The (1984)",North by Northwest (1959),"Wizard of Oz, The (1939)",Secrets & Lies (1996),Dead Man Walking (1995),"Maltese Falcon, The (1941)",Short Cuts (1993),"Bridge on the River Kwai, The (1957)"
Toy Story (1995),L.A. Confidential (1997),Amistad (1997),Secrets & Lies (1996),Men in Black (1997),Raiders of the Lost Ark (1981),"Rainmaker, The (1997)",Big Night (1996),That Thing You Do! (1996),"Close Shave, A (1995)"
Braveheart (1995),It's a Wonderful Life (1946),Fargo (1996),Casablanca (1942),Contact (1997),"Usual Suspects, The (1995)",Leaving Las Vegas (1995),"Empire Strikes Back, The (1980)",Return of the Jedi (1983),"Shawshank Redemption, The (1994)"
"Godfather, The (1972)",Star Wars (1977),Good Will Hunting (1997),Fargo (1996),Air Force One (1997),Titanic (1997),"Shawshank Redemption, The (1994)",Casablanca (1942),2001: A Space Odyssey (1968),"Silence of the Lambs, The (1991)"
Fargo (1996),Star Wars (1977),"Godfather, The (1972)",Trainspotting (1996),Titanic (1997),L.A. Confidential (1997),"Close Shave, A (1995)",Michael Collins (1996),"Full Monty, The (1997)",In & Out (1997)
"Full Monty, The (1997)",Trainspotting (1996),"Shawshank Redemption, The (1994)",This Is Spinal Tap (1984),"Boot, Das (1981)",To Kill a Mockingbird (1962),French Kiss (1995),Stand by Me (1986),One Flew Over the Cuckoo's Nest (1975),"Fugitive, The (1993)"
L.A. Confidential (1997),"Boot, Das (1981)",When We Were Kings (1996),Lone Star (1996),"Close Shave, A (1995)",Raiders of the Lost Ark (1981),"Shawshank Redemption, The (1994)",Good Will Hunting (1997),Dead Man Walking (1995),Titanic (1997)
Schindler's List (1993),"Usual Suspects, The (1995)",M*A*S*H (1970),Glory (1989),Speed (1994),"Shining, The (1980)","Full Monty, The (1997)","City of Lost Children, The (1995)",8 1/2 (1963),Sunset Blvd. (1950)
Boogie Nights (1997),"Full Monty, The (1997)",Kiss the Girls (1997),Chasing Amy (1997),Kolya (1996),Rosewood (1997),Raise the Red Lantern (1991),Cop Land (1997),Chasing Amy (1997),"Devil's Own, The (1997)"
"English Patient, The (1996)",Kolya (1996),"Wings of the Dove, The (1997)",Cop Land (1997),Scream 2 (1997),Eve's Bayou (1997),"Postman, The (1997)","Tango Lesson, The (1997)",Anastasia (1997),Amistad (1997)
Casablanca (1942),"Shawshank Redemption, The (1994)",Fargo (1996),"Usual Suspects, The (1995)",Braveheart (1995),Schindler's List (1993),North by Northwest (1959),Titanic (1997),"Close Shave, A (1995)","Great Escape, The (1963)"
Casablanca (1942),"Silence of the Lambs, The (1991)",Titanic (1997),Amadeus (1984),"Godfather, The (1972)","Sting, The (1973)","Blues Brothers, The (1980)",Good Will Hunting (1997),"Shawshank Redemption, The (1994)",Clerks (1994)
"Apostle, The (1997)","Postman, The (1997)",Air Force One (1997),Scream (1996),Star Wars (1977),Anna Karenina (1997),Washington Square (1997),In the Company of Men (1997),Anastasia (1997),Fly Away Home (1996)
Fargo (1996),Die Hard (1988),Platoon (1986),Titanic (1997),Sling Blade (1996),Lone Star (1996),Reservoir Dogs (1992),Trainspotting (1996),"Fish Called Wanda, A (1988)","Wrong Trousers, The (1993)"
